id,municipio,vereda,longitud,latitud,altitud,caudal_ver,vigencia,tipo_vert,sist_trata,descarga,clase_vert,actividad,fuente_rec,cuerpo_rec,tipo_desc,observacio,sist_med_c,coordenadas
88,Villa De Leyva,Centro,-73.52958611,5.638816667,2140,No Reportado,04/11/2008 12:00:00 AM,Distribuida,,1,1,,Rio Leyva,Rio Leyva,Distribuida,,,POINT (-73.52958611 5.638816667)
89,Villa De Leyva,Centro,-73.53018056,5.639858333,2129,No Reportado,04/11/2008 12:00:00 AM,Distribuida,,1,1,,Rio Leyva,Rio Leyva,Distribuida,,,POINT (-73.53018056 5.639858333)
90,Sora,Llano,-73.45540278,5.561983333,2677,3,,Puntual,,1,,,Quebrada Suacha,Quebrada Suacha,Puntual,,,POINT (-73.45540278 5.561983333)
91,Paez,Centro,-73.05354167,5.099536111,1249,7,09/15/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada La Menudera,Quebrada La Menudera,Distribuida,,,POINT (-73.05354167 5.099536111)
92,Paez,Centro,-73.05372778,5.101758333,1290,2,09/15/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada La Menudera,Quebrada La Menudera,Distribuida,,,POINT (-73.05372778 5.101758333)
93,Paez,Centro,-73.16662778,5.286163889,1547,1,09/16/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada La Menudera,Quebrada La Menudera,Distribuida,,,POINT (-73.16662778 5.286163889)
94,Berbeo,Centro,-73.12526111,5.22225,1308,714,09/17/2008 12:00:00 AM,Puntual,,1,1,,Quebrada Agua Blanca,Quebrada Agua Blanca,Puntual,,,POINT (-73.12526111 5.22225)
95,Moniquira,Zona Urbana,-73.57803333,5.882019444,0,376,09/18/2008 12:00:00 AM,Puntual,,1,1,,Quebrada Pueblo Viejo,Quebrada Pueblo Viejo,Puntual,,,POINT (-73.57803333 5.882019444)
96,Coper,Zona Urbana,-74.04550278,5.475238889,932,22,09/19/2008 12:00:00 AM,Puntual,,1,1,,Quebrada Las Mercedes,Quebrada Las Mercedes,Puntual,,,POINT (-74.04550278 5.475238889)
97,Muzo,Zona Urbana,-74.10122778,5.5285,0,No Reportado,09/20/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada El Cementerio,Quebrada El Cementerio,Distribuida,,,POINT (-74.10122778 5.5285)
98,Muzo,Zona Urbana,-74.10015278,5.5254,0,No Reportado,09/21/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada El Alumbral,Quebrada El Alumbral,Distribuida,,,POINT (-74.10015278 5.5254)
99,Muzo,Zona Urbana,-74.09680556,5.531438889,0,219,09/22/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada El Matadero,Quebrada El Matadero,Distribuida,,,POINT (-74.09680556 5.531438889)
100,Muzo,Zona Urbana,-74.09827778,5.531394444,0,237,09/23/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada El Bosque,Quebrada El Bosque,Distribuida,,,POINT (-74.09827778 5.531394444)
101,Muzo,Zona Urbana,-74.09900833,5.531530556,0,No Reportado,09/24/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada Santa Ana,Quebrada Santa Ana,Distribuida,,,POINT (-74.09900833 5.531530556)
102,Briceno,Zona Urbana,-73.92383056,5.693672222,1218,25,09/25/2008 12:00:00 AM,,,,1,,Quebrada Galvan,Quebrada Galvan,,,,POINT (-73.92383056 5.693672222)
103,Briceno,Centro,-73.92609722,5.690880556,1206,35,09/26/2008 12:00:00 AM,,,,1,,Quebrada Zapata,Quebrada Zapata,,,,POINT (-73.92609722 5.690880556)
104,Tunungua,Pena Blanca,-73.93639444,5.733908333,1206,15,09/27/2008 12:00:00 AM,Puntual,,1,1,,Cano Galvan,Cano Galvan,Puntual,,,POINT (-73.93639444 5.733908333)
105,Maripi,Centro,-74.00542778,5.552533333,1026,42,09/28/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada Yanaca,Quebrada Yanaca,Distribuida,,,POINT (-74.00542778 5.552533333)
106,Maripi,Centro,-74.00482222,5.548083333,1280,5,04/16/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada La Locha,Quebrada La Locha,Distribuida,,,POINT (-74.00482222 5.548083333)
107,San Pablo De Borbur,Centro,-74.0689,5.652213889,684,15,04/16/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada Chorreron,Quebrada Chorreron,Distribuida,,Area,POINT (-74.0689 5.652213889)
108,San Pablo De Borbur,Centro,-74.06908056,5.653552778,664,23,04/16/2008 12:00:00 AM,Distribuida,,1,1,,Quebrada Chorreron,Quebrada Chorreron,Distribuida,,Area,POINT (-74.06908056 5.653552778)
109,San Pablo De Borbur,Centro,-74.06867222,5.648941667,0,6,,Distribuida,,1,1,,Quebrada Sin Nombre,Quebrada Sin Nombre,Distribuida,,Area,POINT (-74.06867222 5.648941667)
110,Samaca,Salamanca,-73.52029722,5.478044444,2763,3,07/28/2006 12:00:00 AM,Puntual,Normal,,1,,Quebrada Gachaneca,Quebrada Gachaneca,Puntual,,,POINT (-73.52029722 5.478044444)
111,Puerto Boyaca,Centro,-74.59902778,5.977569444,145,173,07/28/2006 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.59902778 5.977569444)
112,Puerto Boyaca,Centro,-74.59885833,5.977794444,151,173,07/28/2006 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.59885833 5.977794444)
113,Puerto Boyaca,Centro,-74.58990833,5.979883333,135,173,05/17/2007 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.58990833 5.979883333)
114,Puerto Boyaca,Centro,-74.58868889,5.980091667,139,173,05/17/2007 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.58868889 5.980091667)
115,Puerto Boyaca,Centro,-74.58251111,5.978769444,138,173,09/21/2004 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.58251111 5.978769444)
116,Puerto Boyaca,Centro,-74.58060556,5.978452778,139,173,09/23/2004 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.58060556 5.978452778)
117,Puerto Boyaca,Centro,-74.57706389,5.976286111,146,173,09/28/2004 12:00:00 AM,Distribuida,Turbulento,1,1,,Rio Magdalena,Rio Magdalena,Distribuida,,,POINT (-74.57706389 5.976286111)
